Overall Market Metrics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Sales,Avg Sales Price,Median Sales Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21607,"511,627.27","450,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterfront Premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
waterfront,Avg Sales Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,"508,228.52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,"958,761.30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Total,"511,627.27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price by House Condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house_condition,Total Sales,Avg Sales Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bad,30,"322,084.17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excellent,1700,"568,102.83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fair,14028,"513,974.07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Good,5677,"495,766.66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okay,172,"318,590.34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Total,21607,"511,627.27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price by Bedrooms & Bathrooms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg Sales Price,bathrooms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bedrooms,0,0.5,0.75,1,1.25,1.5,1.75,2,2.25,2.5,2.75,3,3.25,3.5,3.75,4,4.25,4.5,4.75,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7.5,7.75,8,Grand Total
0,"497,360.71",,"265,000.00","228,000.00",,"288,000.00",,,,"299,983.33",,,,,,,,,,,,,,,,,,,,,"397,113.46"
1,"279,666.67","255,000.00","251,053.70","316,629.96","823,037.50","325,745.83","366,050.00","297,166.67","436,225.00","489,500.00",,,,,,,,,,,,,,,,,,,,,"317,052.81"
2,,"191,000.00","327,513.50","348,072.80","468,983.33","409,550.44","463,241.18",447069.537,"504,946.73","527,858.80","512,470.85","634,690.38","797,543.75","535,000.00",,,,,,,,,,,,,,,,,"398,325.47"
3,,,"311,512.56","336,100.06","540,518.75","396,307.00","433,776.29","443,534.45","474,515.64","509,076.76","621,341.25","641,183.60","664,851.08","705,154.58","804,758.82","962,884.09","974,145.83","1,059,745.00",,,,,,,,,,,,,"455,930.84"
4,,"312,500.00","331,250.00","391,168.38",,"441,104.48","486,649.36","473,831.20","569,288.95","569,399.48","638,866.80","665,915.98","897,996.85","868,928.85",1022376.936,"958,188.28","1,021,889.47","1,029,575.00","1,033,695.00","1,067,482.14","1,115,660.00","1,129,575.00","1,129,575.00",,,,,,,,"595,408.66"
5,,,,"489,271.09",,"454,249.79","486,069.10","494,445.68","626,160.46","581,610.58","643,120.94","655,374.33","865,145.84","809,906.05","924,778.41","977,593.23","1,026,249.00","993,029.66","1,066,015.91","1,073,921.43","1,129,575.00","1,078,431.25","1,129,575.00","1,072,181.25","1,129,575.00","1,129,575.00","1,129,575.00",,,,"675,841.62"
6,,,,"590,833.33",,"326,066.67","540,250.00","461,800.00","663,876.67","582,232.59","751,955.65","610,276.48","834,750.00","791,610.29","803,801.46","812,452.27","1,044,681.25","741,518.43","1,129,575.00","705,358.33","691,025.00",,,"1,129,575.00",,"1,129,575.00",,,"1,129,575.00","1,129,575.00","681,622.43"
