sale_date,sale_price,bedrooms,bathrooms,living_area_sqft,lot_area_sqft,floors,waterfront,house_condition,overall_grade,above_basement_sqft,basement_sqft,house_age_years,renovation_year,zipcode,latitude,longitude,living_area_renovated_sqft,lot_area_renovated_sqft,Renovated,Price per sqft
  10/14/17,"221,900.00",3,1,"1,180.00","5,650.00",1.00,No,Fair,7,"1,180.00",0.00,63,0,98178,47.51,-122.26,"1,340.00","5,650.00",No,188.05
  12/14/17,"538,000.00",3,2.25,"2,570.00","7,242.00",2.00,No,Fair,7,"2,170.00",400.00,67,1991,98125,47.72,-122.32,"1,690.00","7,639.00",Yes,209.34
  2/15/16,"180,000.00",2,1,770.00,"10,000.00",1.00,No,Fair,6,770.00,0.00,85,0,98028,47.74,-122.23,"2,720.00","8,062.00",No,233.77
  12/14/17,"604,000.00",4,3,"1,960.00","5,000.00",1.00,No,Excellent,7,"1,050.00",910.00,53,0,98136,47.52,-122.39,"1,360.00","5,000.00",No,308.16
  2/15/16,"510,000.00",3,2,"1,680.00","8,080.00",1.00,No,Fair,8,"1,680.00",0.00,31,0,98074,47.62,-122.05,"1,800.00","7,503.00",No,303.57
  5/14/17,"1,129,575.00",4,4.5,"5,420.00","101,930.00",1.00,No,Fair,10,"3,890.00","1,530.00",17,0,98053,47.66,-122.01,"4,760.00","101,930.00",No,208.41
  6/14/17,"257,500.00",3,2.25,"1,715.00","6,819.00",2.00,No,Fair,7,"1,715.00",0.00,23,0,98003,47.31,-122.33,"2,238.00","6,819.00",No,150.15
  1/15/16,"291,850.00",3,1.5,"1,060.00","9,711.00",1.00,No,Fair,7,"1,060.00",0.00,55,0,98198,47.41,-122.32,"1,650.00","9,711.00",No,275.33
  4/15/16,"229,500.00",3,1,"1,780.00","7,470.00",1.00,No,Fair,7,"1,050.00",730.00,58,0,98146,47.51,-122.34,"1,780.00","8,113.00",No,128.93
  3/15/16,"323,000.00",3,2.5,"1,890.00","6,560.00",2.00,No,Fair,7,"1,890.00",0.00,15,0,98038,47.37,-122.03,"2,390.00","7,570.00",No,170.90
  4/15/16,"662,500.00",3,2.5,"3,560.00","9,796.00",1.00,No,Fair,8,"1,860.00","1,700.00",53,0,98007,47.60,-122.15,"2,210.00","8,925.00",No,186.10
  5/14/17,"468,000.00",2,1,"1,160.00","6,000.00",1.00,No,Good,7,860.00,300.00,76,0,98115,47.69,-122.29,"1,330.00","6,000.00",No,403.45
  5/14/17,"310,000.00",3,1,"1,430.00","19,901.00",1.50,No,Good,7,"1,430.00",0.00,91,0,98028,47.76,-122.23,"1,780.00","12,697.00",No,216.78
  10/14/17,"400,000.00",3,1.75,"1,370.00","9,680.00",1.00,No,Good,7,"1,370.00",0.00,41,0,98074,47.61,-122.05,"1,370.00","10,208.00",No,291.97
  3/15/16,"530,000.00",5,2,"1,810.00","4,850.00",1.50,No,Fair,7,"1,810.00",0.00,118,0,98107,47.67,-122.39,"1,360.00","4,850.00",No,292.82
  1/15/16,"650,000.00",4,3,"2,950.00","5,000.00",2.00,No,Fair,9,"1,980.00",970.00,39,0,98126,47.57,-122.38,"2,140.00","4,000.00",No,220.34
  7/14/17,"395,000.00",3,2,"1,890.00","14,040.00",2.00,No,Fair,7,"1,890.00",0.00,24,0,98019,47.73,-121.96,"1,890.00","14,018.00",No,208.99
  5/14/17,"485,000.00",4,1,"1,600.00","4,300.00",1.50,No,Good,7,"1,600.00",0.00,102,0,98103,47.66,-122.34,"1,610.00","4,300.00",No,303.13
  12/14/17,"189,000.00",2,1,"1,200.00","9,850.00",1.00,No,Good,7,"1,200.00",0.00,97,0,98002,47.31,-122.21,"1,060.00","5,095.00",No,157.50
  4/15/16,"230,000.00",3,1,"1,250.00","9,774.00",1.00,No,Good,7,"1,250.00",0.00,49,0,98003,47.33,-122.31,"1,280.00","8,850.00",No,184.00
  5/14/17,"385,000.00",4,1.75,"1,620.00","4,980.00",1.00,No,Good,7,860.00,760.00,71,0,98133,47.70,-122.34,"1,400.00","4,980.00",No,237.65
  8/14/17,"1,129,575.00",3,2.75,"3,050.00","44,867.00",1.00,No,Fair,9,"2,330.00",720.00,50,0,98040,47.53,-122.23,"4,110.00","20,336.00",No,370.35
  7/14/17,"285,000.00",5,2.5,"2,270.00","6,300.00",2.00,No,Fair,8,"2,270.00",0.00,23,0,98092,47.33,-122.17,"2,240.00","7,005.00",No,125.55
  5/14/17,"252,700.00",2,1.5,"1,070.00","9,643.00",1.00,No,Fair,7,"1,070.00",0.00,33,0,98030,47.35,-122.17,"1,220.00","8,386.00",No,236.17
  11/14/17,"329,000.00",3,2.25,"2,450.00","6,500.00",2.00,No,Good,8,"2,450.00",0.00,33,0,98030,47.37,-122.17,"2,200.00","6,865.00",No,134.29
  11/14/17,"233,000.00",3,2,"1,710.00","4,697.00",1.50,No,Excellent,6,"1,710.00",0.00,77,0,98002,47.30,-122.22,"1,030.00","4,705.00",No,136.26
  6/14/17,"937,000.00",3,1.75,"2,450.00","2,691.00",2.00,No,Fair,8,"1,750.00",700.00,103,0,98119,47.64,-122.36,"1,760.00","3,573.00",No,382.45
  12/14/17,"667,000.00",3,1,"1,400.00","1,581.00",1.50,No,Excellent,8,"1,400.00",0.00,109,0,98112,47.62,-122.31,"1,860.00","3,861.00",No,476.43
  6/14/17,"438,000.00",3,1.75,"1,520.00","6,380.00",1.00,No,Fair,7,790.00,730.00,70,0,98115,47.70,-122.30,"1,520.00","6,235.00",No,288.16
  3/15/16,"719,000.00",4,2.5,"2,570.00","7,173.00",2.00,No,Fair,8,"2,570.00",0.00,13,0,98052,47.71,-122.11,"2,630.00","6,026.00",No,279.77
  11/14/17,"580,500.00",3,2.5,"2,320.00","3,980.00",2.00,No,Fair,8,"2,320.00",0.00,15,0,98027,47.54,-122.07,"2,580.00","3,980.00",No,250.22
  12/14/17,"280,000.00",2,1.5,"1,190.00","1,265.00",3.00,No,Fair,7,"1,190.00",0.00,13,0,98133,47.73,-122.36,"1,390.00","1,756.00",No,235.29
  6/14/17,"687,500.00",4,1.75,"2,330.00","5,000.00",1.50,No,Good,7,"1,510.00",820.00,89,0,98117,47.68,-122.37,"1,460.00","5,000.00",No,295.06
  11/14/17,"535,000.00",3,1,"1,090.00","3,000.00",1.50,No,Good,8,"1,090.00",0.00,89,0,98117,47.69,-122.38,"1,570.00","5,080.00",No,490.83
  12/14/17,"322,500.00",4,2.75,"2,060.00","6,659.00",1.00,No,Fair,7,"1,280.00",780.00,37,0,98058,47.43,-122.16,"2,020.00","8,720.00",No,156.55
  6/14/17,"696,000.00",3,2.5,"2,300.00","3,060.00",1.50,No,Fair,8,"1,510.00",790.00,88,2002,98115,47.68,-122.31,"1,590.00","3,264.00",Yes,302.61
  5/14/17,"550,000.00",4,1,"1,660.00","34,848.00",1.00,No,Bad,5,930.00,730.00,85,0,98052,47.66,-122.13,"2,160.00","11,467.00",No,331.33
  12/14/17,"640,000.00",4,2,"2,360.00","6,000.00",2.00,No,Good,8,"2,360.00",0.00,114,0,98107,47.67,-122.36,"1,730.00","4,700.00",No,271.19
  2/15/16,"240,000.00",4,1,"1,220.00","8,075.00",1.00,No,Okay,7,890.00,330.00,49,0,98001,47.33,-122.28,"1,290.00","7,800.00",No,196.72
  6/14/17,"605,000.00",4,2.5,"2,620.00","7,553.00",2.00,No,Fair,8,"2,620.00",0.00,22,0,98056,47.53,-122.18,"2,620.00","11,884.00",No,230.92
  7/14/17,"625,000.00",4,2.5,"2,570.00","5,520.00",2.00,No,Fair,9,"2,570.00",0.00,18,0,98074,47.61,-122.03,"2,470.00","5,669.00",No,243.19
  8/14/17,"775,000.00",4,2.25,"4,220.00","24,186.00",1.00,No,Fair,8,"2,600.00","1,620.00",34,0,98166,47.45,-122.35,"2,410.00","30,617.00",No,183.65
  7/14/17,"861,990.00",5,2.75,"3,595.00","5,639.00",2.00,No,Fair,9,"3,595.00",0.00,4,0,98053,47.68,-122.02,"3,625.00","5,639.00",No,239.77
  10/14/17,"685,000.00",3,1,"1,570.00","2,280.00",2.00,No,Fair,7,"1,570.00",0.00,96,0,98119,47.64,-122.36,"1,580.00","2,640.00",No,436.31
  7/14/17,"309,000.00",3,1,"1,280.00","9,656.00",1.00,No,Good,6,920.00,360.00,59,0,98058,47.45,-122.18,"1,340.00","8,808.00",No,241.41
  7/14/17,"488,000.00",3,2.5,"3,160.00","13,603.00",2.00,No,Fair,8,"3,160.00",0.00,15,0,98019,47.74,-121.98,"3,050.00","9,232.00",No,154.43
  3/15/16,"210,490.00",3,1,990.00,"8,528.00",1.00,No,Fair,6,990.00,0.00,52,0,98023,47.31,-122.37,"1,228.00","8,840.00",No,212.62
  7/14/17,"785,000.00",4,2.5,"2,290.00","13,416.00",2.00,No,Good,9,"2,290.00",0.00,37,0,98007,47.62,-122.15,"2,680.00","13,685.00",No,342.79
  4/15/16,"450,000.00",3,1.75,"1,250.00","5,963.00",1.00,No,Good,7,"1,250.00",0.00,65,0,98115,47.68,-122.30,970.00,"5,100.00",No,360.00
  3/15/16,"1,129,575.00",3,2.5,"2,753.00","65,005.00",1.00,Yes,Excellent,9,"2,165.00",588.00,65,0,98070,47.40,-122.45,"2,680.00","72,513.00",No,410.31
  9/14/17,"228,000.00",3,1,"1,190.00","9,199.00",1.00,No,Fair,7,"1,190.00",0.00,63,0,98148,47.43,-122.32,"1,190.00","9,364.00",No,191.60
  2/15/16,"345,000.00",5,2.5,"3,150.00","9,134.00",1.00,No,Good,8,"1,640.00","1,510.00",52,0,98056,47.49,-122.19,"1,990.00","9,133.00",No,109.52
  12/14/17,"600,000.00",3,1.75,"1,410.00","4,080.00",1.00,No,Good,7,"1,000.00",410.00,68,0,98117,47.68,-122.38,"1,410.00","4,080.00",No,425.53
  2/15/16,"585,000.00",2,1.75,"1,980.00","8,550.00",1.00,No,Fair,7,990.00,990.00,37,0,98117,47.70,-122.37,"1,480.00","6,738.00",No,295.45
  3/15/16,"920,000.00",5,2.25,"2,730.00","6,000.00",1.50,No,Fair,8,"2,130.00",600.00,91,0,98105,47.66,-122.28,"2,730.00","6,000.00",No,337.00
  5/14/17,"885,000.00",4,2.5,"2,830.00","5,000.00",2.00,No,Fair,9,"2,830.00",0.00,23,0,98105,47.66,-122.29,"1,950.00","5,000.00",No,312.72
  8/14/17,"292,500.00",4,2.5,"2,250.00","4,495.00",2.00,No,Fair,7,"2,250.00",0.00,10,0,98042,47.37,-122.11,"2,250.00","4,500.00",No,130.00
  4/15/16,"301,000.00",3,2.5,"2,420.00","4,750.00",2.00,No,Fair,8,"2,420.00",0.00,15,0,98042,47.37,-122.12,"2,690.00","4,750.00",No,124.38
  8/14/17,"951,000.00",5,3.25,"3,250.00","14,342.00",2.00,No,Good,8,"3,250.00",0.00,50,0,98008,47.59,-122.12,"2,960.00","11,044.00",No,292.62
  2/15/16,"430,000.00",4,3,"1,850.00","9,976.00",2.00,No,Fair,8,"1,850.00",0.00,27,0,98059,47.51,-122.15,"2,270.00","8,542.00",No,232.43
  12/14/17,"650,000.00",3,2.25,"2,150.00","21,235.00",1.00,No,Good,8,"1,590.00",560.00,59,0,98166,47.43,-122.34,"2,570.00","18,900.00",No,302.33
  8/14/17,"289,000.00",3,1.75,"1,260.00","8,400.00",1.00,No,Fair,7,"1,260.00",0.00,64,0,98148,47.44,-122.34,"1,290.00","8,750.00",No,229.37
  10/14/17,"505,000.00",3,1.75,"2,519.00","8,690.00",2.00,No,Excellent,8,"2,519.00",0.00,45,0,98166,47.44,-122.34,"2,500.00","9,500.00",No,200.48
  12/14/17,"549,000.00",3,1.75,"1,540.00","1,044.00",3.00,No,Fair,8,"1,540.00",0.00,4,0,98115,47.68,-122.32,"1,580.00","3,090.00",No,356.49
  6/14/17,"425,000.00",3,2.25,"1,660.00","6,000.00",1.00,No,Fair,7,"1,110.00",550.00,39,0,98122,47.61,-122.30,"1,440.00","4,080.00",No,256.02
  11/14/17,"317,625.00",3,2.75,"2,770.00","3,809.00",1.50,No,Excellent,7,"1,770.00","1,000.00",93,0,98144,47.57,-122.30,"1,440.00","4,000.00",No,114.67
  9/14/17,"975,000.00",4,2.5,"2,720.00","11,049.00",2.00,No,Fair,10,"2,720.00",0.00,29,0,98004,47.58,-122.19,"2,750.00","11,049.00",No,358.46
  10/14/17,"287,000.00",4,2.5,"2,240.00","4,648.00",2.00,No,Fair,7,"2,240.00",0.00,13,0,98001,47.34,-122.26,"2,221.00","4,557.00",No,128.13
  8/14/17,"204,000.00",3,1,"1,000.00","12,070.00",1.00,No,Good,7,"1,000.00",0.00,50,0,98042,47.36,-122.11,"1,010.00","12,635.00",No,204.00
  6/14/17,"1,129,575.00",5,2.25,"3,200.00","20,158.00",1.00,No,Fair,8,"1,600.00","1,600.00",53,0,98004,47.63,-122.22,"3,390.00","20,158.00",No,352.99
  9/14/17,"1,040,000.00",5,3.25,"4,770.00","50,094.00",1.00,No,Good,10,"3,070.00","1,700.00",45,0,98005,47.65,-122.16,"3,530.00","38,917.00",No,218.03
  1/15/16,"325,000.00",3,2,"1,260.00","5,612.00",1.00,No,Good,7,"1,260.00",0.00,46,0,98034,47.74,-122.18,"1,640.00","4,745.00",No,257.94
  6/14/17,"571,000.00",4,2,"2,750.00","7,807.00",1.50,No,Excellent,7,"2,250.00",500.00,102,0,98125,47.72,-122.29,"1,510.00","7,807.00",No,207.64
  7/14/17,"360,000.00",4,2.5,"2,380.00","5,000.00",2.00,No,Fair,8,"2,380.00",0.00,13,0,98038,47.36,-122.04,"2,420.00","5,000.00",No,151.26
  3/15/16,"349,000.00",3,1.75,"1,790.00","50,529.00",1.00,No,Excellent,7,"1,090.00",700.00,53,0,98042,47.35,-122.07,"1,940.00","50,529.00",No,194.97
  11/14/17,"832,500.00",4,4,"3,430.00","35,102.00",2.00,No,Good,10,"2,390.00","1,040.00",32,0,98075,47.58,-121.99,"3,240.00","35,020.00",No,242.71
  10/14/17,"380,000.00",4,1.75,"1,760.00","7,300.00",1.00,No,Fair,7,880.00,880.00,62,0,98008,47.60,-122.13,"1,680.00","7,500.00",No,215.91
  4/15/16,"480,000.00",3,1,"1,040.00","5,060.00",1.00,No,Fair,7,"1,040.00",0.00,77,0,98116,47.56,-122.39,890.00,"5,060.00",No,461.54
  6/14/17,"410,000.00",3,1,"1,410.00","5,060.00",1.00,No,Good,7,910.00,500.00,62,0,98133,47.71,-122.34,"1,130.00","5,693.00",No,290.78
  3/15/16,"720,000.00",4,2.5,"3,450.00","39,683.00",2.00,No,Fair,10,"3,450.00",0.00,16,0,98010,47.34,-122.03,"3,350.00","39,750.00",No,208.70
  12/14/17,"390,000.00",3,2.5,"2,350.00","5,100.00",2.00,No,Fair,8,"2,350.00",0.00,15,0,98038,47.35,-122.01,"2,350.00","5,363.00",No,165.96
